MovieID,Title,Genre,Rating
1,Baahubali: The Beginning,"Action, Drama",4.0
2,Baahubali: The Conclusion,"Action, Historical",4.1
3,RRR,"Romance, Comedy",4.2
4,Pushpa: The Rise,"Drama, Family",4.3
5,Ala Vaikunthapurramuloo,"Action, Thriller",4.4
6,Sarileru Neekevvaru,"Romance, Drama",4.0
7,Arjun Reddy,"Fantasy, Adventure",4.1
8,Geetha Govindam,"Political, Drama",4.2
9,Eega,"Biographical, Drama",4.3
10,Mahanati,Romance,4.4
11,Sye Raa Narasimha Reddy,"Action, Comedy",4.0
12,Jersey,"Action, Crime",4.1
13,Fidaa,"Action, Drama",4.2
14,Bharat Ane Nenu,"Action, Historical",4.3
15,Uppena,"Romance, Comedy",4.4
16,K.G.F: Chapter 1,"Drama, Family",4.0
17,K.G.F: Chapter 2,"Action, Thriller",4.1
18,Magadheera,"Romance, Drama",4.2
19,Janatha Garage,"Fantasy, Adventure",4.3
20,Athadu,"Political, Drama",4.4
21,Pokiri,"Biographical, Drama",4.0
22,Gabbar Singh,Romance,4.1
23,Seethamma Vakitlo Sirimalle Chettu,"Action, Comedy",4.2
24,Nenokkadine,"Action, Crime",4.3
25,Temper,"Action, Drama",4.4
26,Dhruva,"Action, Historical",4.0
27,Businessman,"Romance, Comedy",4.1
28,Oopiri,"Drama, Family",4.2
29,Manam,"Action, Thriller",4.3
30,Leader,"Romance, Drama",4.4
31,Rangasthalam,"Fantasy, Adventure",4.0
32,Devadasu,"Political, Drama",4.1
33,Kick,"Biographical, Drama",4.2
34,Simhadri,Romance,4.3
35,Nuvvu Naaku Nachav,"Action, Comedy",4.4
36,Varsham,"Action, Crime",4.0
37,Aarya,"Action, Drama",4.1
38,Happy Days,"Action, Historical",4.2
39,Bommarillu,"Romance, Comedy",4.3
40,Pelli Choopulu,"Drama, Family",4.4
41,Kshanam,"Action, Thriller",4.0
42,Evaru,"Romance, Drama",4.1
43,Agent Sai Srinivasa Athreya,"Fantasy, Adventure",4.2
44,Kanulu Kanulanu Dochayante,"Political, Drama",4.3
45,Chi La Sow,"Biographical, Drama",4.4
46,Tholi Prema,Romance,4.0
47,100% Love,"Action, Comedy",4.1
48,Ye Maaya Chesave,"Action, Crime",4.2
49,Premam,"Action, Drama",4.3
50,Oohalu Gusagusalade,"Action, Historical",4.4
51,Majnu,"Romance, Comedy",4.0
52,Chitralahari,"Drama, Family",4.1
53,MCA,"Action, Thriller",4.2
54,Shatamanam Bhavati,"Romance, Drama",4.3
55,Mirchi,"Fantasy, Adventure",4.4
56,Aditya 369,"Political, Drama",4.0
57,Kshana Kshanam,"Biographical, Drama",4.1
58,Gharana Mogudu,Romance,4.2
59,Jagadeka Veerudu Athiloka Sundari,"Action, Comedy",4.3
60,Sankarabharanam,"Action, Crime",4.4
61,Maya Bazar,"Action, Drama",4.0
62,Gundamma Katha,"Action, Historical",4.1
63,Sagara Sangamam,"Romance, Comedy",4.2
64,Swathi Muthyam,"Drama, Family",4.3
65,Khaidi,"Action, Thriller",4.4
66,Sita Ramam,"Romance, Drama",4.0
67,Love Story,"Fantasy, Adventure",4.1
68,Bangarraju,"Political, Drama",4.2
69,Radhe Shyam,"Biographical, Drama",4.3
70,Vakeel Saab,Romance,4.4
71,Gaddalakonda Ganesh,"Action, Comedy",4.0
72,Yevadu,"Action, Crime",4.1
